# Keynotes de lancement iPhone. Heure = début du keynote en heure de New York
# (10:00 PT = 13:00 ET ; Macworld 2007 : 09:00 PT). Toutes pendant la séance :
# J0 = le jour même. Dates établies de mémoire le 2026-09-26, À VÉRIFIER contre
# les communiqués Apple Newsroom avant toute conclusion publiée.
published_at,label
2007-01-09 12:00,iPhone (Macworld 2007)
2008-06-09 13:00,iPhone 3G (WWDC 2008)
2009-06-08 13:00,iPhone 3GS (WWDC 2009)
2010-06-07 13:00,iPhone 4 (WWDC 2010)
2011-10-04 13:00,iPhone 4S
2012-09-12 13:00,iPhone 5
2013-09-10 13:00,iPhone 5s / 5c
2014-09-09 13:00,iPhone 6 + Apple Watch
2015-09-09 13:00,iPhone 6s
2016-09-07 13:00,iPhone 7
2017-09-12 13:00,iPhone X
2018-09-12 13:00,iPhone XS
2019-09-10 13:00,iPhone 11
2020-10-13 13:00,iPhone 12
2021-09-14 13:00,iPhone 13
2022-09-07 13:00,iPhone 14
2023-09-12 13:00,iPhone 15
2024-09-09 13:00,iPhone 16
2025-09-09 13:00,iPhone 17
