horizon,regime,fold,N,sampler,algo,n_train,n_test,test_start,test_end,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,GLOBAL,1,5,SMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2898,0.5567,0.5529,0.306,0.5153
1,GLOBAL,1,5,SMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.271,0.5211,0.5156,0.2824,0.4987
1,GLOBAL,1,5,SMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.294,0.5633,0.558,0.2591,0.5294
1,GLOBAL,1,5,SMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2915,0.5383,0.5333,0.289,0.522
1,GLOBAL,1,5,SMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,5,BorderlineSMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2957,0.5475,0.5425,0.2966,0.5553
1,GLOBAL,1,5,BorderlineSMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.2734,0.5303,0.5263,0.2738,0.48
1,GLOBAL,1,5,BorderlineSMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.2706,0.562,0.5511,0.1992,0.4898
1,GLOBAL,1,5,BorderlineSMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2759,0.5383,0.5349,0.3026,0.492
1,GLOBAL,1,5,BorderlineSMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,5,ADASYN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2763,0.5501,0.5223,0.3197,0.4543
1,GLOBAL,1,5,ADASYN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2653,0.5435,0.5389,0.2394,0.4615
1,GLOBAL,1,5,ADASYN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2888,0.5646,0.5584,0.2745,0.5248
1,GLOBAL,1,5,ADASYN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2612,0.5435,0.5239,0.3287,0.4578
1,GLOBAL,1,5,ADASYN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,5,SMOTETomek,XGBoost,2542,758,2010-08-17,2013-10-21,0.3041,0.5488,0.5445,0.2946,0.5495
1,GLOBAL,1,5,SMOTETomek,LightGBM,2542,758,2010-08-17,2013-10-21,0.2759,0.5409,0.5321,0.2748,0.514
1,GLOBAL,1,5,SMOTETomek,RandomForest,2542,758,2010-08-17,2013-10-21,0.2976,0.566,0.553,0.2531,0.595
1,GLOBAL,1,5,SMOTETomek,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2835,0.5369,0.5331,0.2868,0.5166
1,GLOBAL,1,5,SMOTETomek,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,5,SMOTEENN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2183,0.4894,0.4761,0.2939,0.415
1,GLOBAL,1,5,SMOTEENN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2394,0.5119,0.5086,0.3217,0.442
1,GLOBAL,1,5,SMOTEENN,RandomForest,2542,758,2010-08-17,2013-10-21,0.25,0.5264,0.5255,0.3356,0.5101
1,GLOBAL,1,5,SMOTEENN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2248,0.4921,0.484,0.3,0.4213
1,GLOBAL,1,5,SMOTEENN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,6,SMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2908,0.5369,0.5341,0.2857,0.5528
1,GLOBAL,1,6,SMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.2683,0.5198,0.5149,0.2558,0.4779
1,GLOBAL,1,6,SMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.2787,0.5554,0.5517,0.2333,0.5622
1,GLOBAL,1,6,SMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2993,0.5409,0.5372,0.3271,0.5231
1,GLOBAL,1,6,SMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,6,BorderlineSMOTE,XGBoost,2542,758,2010-08-17,2013-10-21,0.2713,0.5264,0.5242,0.2824,0.4987
1,GLOBAL,1,6,BorderlineSMOTE,LightGBM,2542,758,2010-08-17,2013-10-21,0.2618,0.5251,0.5236,0.2717,0.4582
1,GLOBAL,1,6,BorderlineSMOTE,RandomForest,2542,758,2010-08-17,2013-10-21,0.2781,0.562,0.5568,0.2441,0.5147
1,GLOBAL,1,6,BorderlineSMOTE,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2593,0.5251,0.5233,0.2857,0.4365
1,GLOBAL,1,6,BorderlineSMOTE,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,6,ADASYN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2816,0.5541,0.5262,0.3162,0.4826
1,GLOBAL,1,6,ADASYN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2632,0.5237,0.5206,0.2943,0.4415
1,GLOBAL,1,6,ADASYN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2832,0.5475,0.54,0.2651,0.5359
1,GLOBAL,1,6,ADASYN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2822,0.5567,0.5355,0.3043,0.4796
1,GLOBAL,1,6,ADASYN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,6,SMOTETomek,XGBoost,2542,758,2010-08-17,2013-10-21,0.2907,0.5475,0.5469,0.3345,0.5313
1,GLOBAL,1,6,SMOTETomek,LightGBM,2542,758,2010-08-17,2013-10-21,0.2867,0.5435,0.5394,0.3162,0.4747
1,GLOBAL,1,6,SMOTETomek,RandomForest,2542,758,2010-08-17,2013-10-21,0.2774,0.5686,0.5631,0.248,0.5476
1,GLOBAL,1,6,SMOTETomek,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2794,0.5554,0.5545,0.2889,0.4987
1,GLOBAL,1,6,SMOTETomek,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
1,GLOBAL,1,6,SMOTEENN,XGBoost,2542,758,2010-08-17,2013-10-21,0.2308,0.4987,0.4777,0.2868,0.4294
1,GLOBAL,1,6,SMOTEENN,LightGBM,2542,758,2010-08-17,2013-10-21,0.2406,0.5,0.4882,0.3411,0.3884
1,GLOBAL,1,6,SMOTEENN,RandomForest,2542,758,2010-08-17,2013-10-21,0.2499,0.5264,0.522,0.3746,0.48
1,GLOBAL,1,6,SMOTEENN,GradientBoosting,2542,758,2010-08-17,2013-10-21,0.2219,0.4908,0.4711,0.3191,0.3894
1,GLOBAL,1,6,SMOTEENN,CatBoost,2542,758,2010-08-17,2013-10-21,,,,,,unhashable type: 'numpy.ndarray'
