horizon,regime,fold,skipped,n_train,n_test,test_start,test_end,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,GLOBAL,1,,2542,758,2010-08-17,2013-10-21,0.2382,0.4987,0.4658,0.255,0.2578
1,GLOBAL,2,,3300,771,2013-10-22,2016-12-28,0.2117,0.5383,0.5031,0.1053,0.7363
1,GLOBAL,3,,4071,767,2016-12-29,2020-03-06,0.225,0.5815,0.5717,0.0,0.6911
1,GLOBAL,4,,4838,779,2020-03-09,2023-05-12,0.2732,0.5546,0.5025,0.0737,0.5974
1,GLOBAL,5,,5617,763,2023-05-15,2026-07-21,0.2704,0.5609,0.5438,0.0415,0.5729
1,CALM,1,,828,324,2010-08-17,2013-10-21,0.1861,0.5494,0.5273,0.0926,0.4741
1,CALM,2,,1072,573,2013-10-22,2016-12-28,0.2355,0.5026,0.4889,0.4615,0.4365
1,CALM,3,,1322,509,2016-12-29,2020-03-06,0.238,0.5442,0.5412,0.5232,0.4816
1,CALM,4,echantillon_insuffisant,,,
1,CALM,5,,1817,264,2023-05-15,2026-07-21,0.1347,0.5303,0.4621,0.612,0.1892
1,NORMAL,1,,868,319,2010-08-17,2013-10-21,0.2162,0.5737,0.3901,0.0482,0.5888
1,NORMAL,2,,1123,155,2013-10-22,2016-12-28,0.1623,0.5935,0.3868,0.0417,0.8428
1,NORMAL,3,,1390,213,2016-12-29,2020-03-06,0.1584,0.5962,0.4218,0.1017,0.7562
1,NORMAL,4,,1656,267,2020-03-09,2023-05-12,0.1959,0.4831,0.4506,0.1633,0.5172
1,NORMAL,5,,1926,416,2023-05-15,2026-07-21,0.2181,0.5481,0.4719,0.0388,0.6441
1,STRESS,1,,846,115,2010-08-17,2013-10-21,0.125,0.5304,0.3466,0.0,0.7308
1,STRESS,2,,1105,43,2013-10-22,2016-12-28,0.2272,0.6047,0.4258,0.0,0.7917
1,STRESS,3,,1359,45,2016-12-29,2020-03-06,0.1591,0.6222,0.3836,0.0,0.8571
1,STRESS,4,,1615,512,2020-03-09,2023-05-12,0.2676,0.5449,0.532,0.0484,0.6131
1,STRESS,5,,1874,83,2023-05-15,2026-07-21,0.1485,0.5904,0.397,0.0952,0.6905
