horizon,regime,algo,fold,pool_variant,n_train,n_test,n_ohlc_selected,selected_features,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,GLOBAL,RandomForest,0,BASE,2542,758,0,"[""FRED_STLFSI_ret_1d"", ""FRED_NFCI_ret_1d"", ""TAP_ret_5d"", ""IDX_VIX_zscore_60d__minus__VLO_zscore_60d"", ""SO_ret_1d"", ""EXC_ret_20d"", ""FRED_NFCI_zscore_60d__minus__IDX_VXN_ret_5d"", ""vix_vs_ma5""]",0.3095,0.566,0.5557,0.28,0.5583
1,GLOBAL,RandomForest,0,BASE_PLUS_OHLC,2542,758,1,"[""FRED_STLFSI_ret_1d"", ""TAP_ret_5d"", ""IDX_VIX_zscore_60d__minus__VLO_zscore_60d"", ""vix_vs_ma5"", ""ohlc_vix_parkinson_10d"", ""GILD_ret_5d"", ""FRED_NFCI_ret_1d"", ""SO_ret_1d""]",0.3099,0.5739,0.5638,0.2667,0.5874
1,GLOBAL,XGBoost,0,BASE,2542,758,0,"[""FRED_STLFSI_ret_1d"", ""FRED_NFCI_ret_1d"", ""TAP_ret_5d"", ""IDX_VIX_zscore_60d__minus__VLO_zscore_60d"", ""SO_ret_1d"", ""EXC_ret_20d"", ""FRED_NFCI_zscore_60d__minus__IDX_VXN_ret_5d"", ""vix_vs_ma5""]",0.317,0.5528,0.549,0.3359,0.5131
1,GLOBAL,XGBoost,0,BASE_PLUS_OHLC,2542,758,1,"[""FRED_STLFSI_ret_1d"", ""TAP_ret_5d"", ""IDX_VIX_zscore_60d__minus__VLO_zscore_60d"", ""vix_vs_ma5"", ""ohlc_vix_parkinson_10d"", ""GILD_ret_5d"", ""FRED_NFCI_ret_1d"", ""SO_ret_1d""]",0.2788,0.5488,0.5449,0.3404,0.5261
1,GLOBAL,RandomForest,1,BASE,3300,771,0,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""PG_ret_1d"", ""AEP_ret_1d"", ""TAP_ret_5d"", ""ADM_ret_1d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""BA_ret_1d""]",0.3111,0.5577,0.5524,0.3061,0.6516
1,GLOBAL,RandomForest,1,BASE_PLUS_OHLC,3300,771,0,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""PG_ret_1d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""BA_ret_1d"", ""GILD_ret_5d"", ""SCHW_ret_1d"", ""AEP_ret_1d""]",0.3086,0.5603,0.5548,0.2482,0.6578
1,GLOBAL,XGBoost,1,BASE,3300,771,0,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""PG_ret_1d"", ""AEP_ret_1d"", ""TAP_ret_5d"", ""ADM_ret_1d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""BA_ret_1d""]",0.3215,0.5681,0.5632,0.3709,0.5822
1,GLOBAL,XGBoost,1,BASE_PLUS_OHLC,3300,771,0,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""PG_ret_1d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""BA_ret_1d"", ""GILD_ret_5d"", ""SCHW_ret_1d"", ""AEP_ret_1d""]",0.3087,0.5551,0.5503,0.3197,0.6196
1,GLOBAL,RandomForest,2,BASE,4071,767,0,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""FRED_NFCI_ret_5d"", ""spike_skew_level"", ""BA_ret_1d"", ""IDX_VIX_zscore_60d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""EXC_ret_20d""]",0.3201,0.588,0.5821,0.2709,0.6624
1,GLOBAL,RandomForest,2,BASE_PLUS_OHLC,4071,767,0,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""BA_ret_1d"", ""FRED_NFCI_ret_5d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""GILD_ret_5d"", ""IDX_VIX_zscore_60d"", ""EXC_ret_20d""]",0.3282,0.5971,0.586,0.2591,0.6236
1,GLOBAL,XGBoost,2,BASE,4071,767,0,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""FRED_NFCI_ret_5d"", ""spike_skew_level"", ""BA_ret_1d"", ""IDX_VIX_zscore_60d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""EXC_ret_20d""]",0.3296,0.605,0.5987,0.3166,0.6266
1,GLOBAL,XGBoost,2,BASE_PLUS_OHLC,4071,767,0,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""BA_ret_1d"", ""FRED_NFCI_ret_5d"", ""vix_zscore_10d__zrel__EWC_zscore_60d"", ""GILD_ret_5d"", ""IDX_VIX_zscore_60d"", ""EXC_ret_20d""]",0.3252,0.5789,0.5735,0.289,0.6304
1,GLOBAL,RandomForest,3,BASE,4838,779,0,"[""FRED_NFCI_ret_1d"", ""FRED_NFCI_ret_5d"", ""spike_skew_level"", ""vix_zscore_20d"", ""IDX_VIX_zscore_60d"", ""BTI_ret_5d"", ""FRED_NFCI_zscore_60d"", ""GILD_ret_5d""]",0.2958,0.5815,0.5788,0.3493,0.5903
1,GLOBAL,RandomForest,3,BASE_PLUS_OHLC,4838,779,1,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""FRED_NFCI_ret_5d"", ""ohlc_vix_yz_10d"", ""BTI_ret_5d"", ""vix_zscore_20d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d""]",0.2809,0.5661,0.5578,0.2889,0.5946
1,GLOBAL,XGBoost,3,BASE,4838,779,0,"[""FRED_NFCI_ret_1d"", ""FRED_NFCI_ret_5d"", ""spike_skew_level"", ""vix_zscore_20d"", ""IDX_VIX_zscore_60d"", ""BTI_ret_5d"", ""FRED_NFCI_zscore_60d"", ""GILD_ret_5d""]",0.3002,0.5623,0.5598,0.4317,0.5576
1,GLOBAL,XGBoost,3,BASE_PLUS_OHLC,4838,779,1,"[""FRED_NFCI_ret_1d"", ""FRED_STLFSI_ret_1d"", ""FRED_NFCI_ret_5d"", ""ohlc_vix_yz_10d"", ""BTI_ret_5d"", ""vix_zscore_20d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d""]",0.2912,0.543,0.5364,0.3711,0.5773
1,GLOBAL,RandomForest,4,BASE,5617,763,0,"[""FRED_NFCI_ret_1d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d"", ""FRED_NFCI_ret_5d"", ""vix_zscore_20d"", ""FRED_NFCI_zscore_60d"", ""BA_ret_1d"", ""PG_ret_1d""]",0.3198,0.6042,0.5857,0.2259,0.6402
1,GLOBAL,RandomForest,4,BASE_PLUS_OHLC,5617,763,1,"[""FRED_NFCI_ret_1d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d"", ""FRED_NFCI_zscore_60d"", ""vix_zscore_20d"", ""FRED_NFCI_ret_5d"", ""ohlc_vix_parkinson_10d"", ""BA_ret_1d""]",0.303,0.5937,0.5677,0.1284,0.6532
1,GLOBAL,XGBoost,4,BASE,5617,763,0,"[""FRED_NFCI_ret_1d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d"", ""FRED_NFCI_ret_5d"", ""vix_zscore_20d"", ""FRED_NFCI_zscore_60d"", ""BA_ret_1d"", ""PG_ret_1d""]",0.3248,0.5885,0.573,0.3008,0.61
1,GLOBAL,XGBoost,4,BASE_PLUS_OHLC,5617,763,1,"[""FRED_NFCI_ret_1d"", ""IDX_VIX_zscore_60d"", ""GILD_ret_5d"", ""FRED_NFCI_zscore_60d"", ""vix_zscore_20d"", ""FRED_NFCI_ret_5d"", ""ohlc_vix_parkinson_10d"", ""BA_ret_1d""]",0.322,0.6068,0.5894,0.2709,0.6374
1,CALM,RandomForest,0,BASE,828,324,0,"[""IDX_FTSE_ret_1d"", ""ORCL_ret_5d"", ""vix_vs_ma5"", ""EZA_ret_20d"", ""QCOM_zscore_60d"", ""BA_zscore_60d"", ""IVV_zscore_60d"", ""RTX_zscore_60d""]",0.274,0.5463,0.5456,0.2833,0.4604
1,CALM,RandomForest,0,BASE_PLUS_OHLC,828,324,0,"[""IDX_FTSE_ret_1d"", ""QCOM_zscore_60d"", ""ORCL_ret_5d"", ""BA_zscore_60d"", ""VTI_zscore_60d"", ""NWL_ret_1d"", ""vix_vs_ma5"", ""LLY_ret_1d""]",0.2838,0.5833,0.5832,0.4028,0.4088
1,CALM,XGBoost,0,BASE,828,324,0,"[""IDX_FTSE_ret_1d"", ""ORCL_ret_5d"", ""vix_vs_ma5"", ""EZA_ret_20d"", ""QCOM_zscore_60d"", ""BA_zscore_60d"", ""IVV_zscore_60d"", ""RTX_zscore_60d""]",0.2833,0.5648,0.5603,0.3688,0.368
1,CALM,XGBoost,0,BASE_PLUS_OHLC,828,324,0,"[""IDX_FTSE_ret_1d"", ""QCOM_zscore_60d"", ""ORCL_ret_5d"", ""BA_zscore_60d"", ""VTI_zscore_60d"", ""NWL_ret_1d"", ""vix_vs_ma5"", ""LLY_ret_1d""]",0.2624,0.5309,0.5304,0.4276,0.314
1,CALM,RandomForest,1,BASE,1072,573,0,"[""ORCL_ret_5d"", ""BA_ret_5d"", ""LLY_ret_1d"", ""AXP_ret_5d"", ""AMGN_ret_1d"", ""NSRGY_ret_5d"", ""COF_ret_1d"", ""vix_zscore_10d__ret5x__EWC_zscore_60d""]",0.2711,0.4764,0.476,0.2922,0.4901
1,CALM,RandomForest,1,BASE_PLUS_OHLC,1072,573,0,"[""ORCL_ret_5d"", ""AXP_ret_5d"", ""LLY_ret_1d"", ""COF_ret_1d"", ""AMGN_ret_1d"", ""BA_ret_5d"", ""ILMN_ret_1d"", ""vix_zscore_10d__ret5x__EWC_zscore_60d""]",0.2895,0.4974,0.4945,0.3333,0.5358
1,CALM,XGBoost,1,BASE,1072,573,0,"[""ORCL_ret_5d"", ""BA_ret_5d"", ""LLY_ret_1d"", ""AXP_ret_5d"", ""AMGN_ret_1d"", ""NSRGY_ret_5d"", ""COF_ret_1d"", ""vix_zscore_10d__ret5x__EWC_zscore_60d""]",0.2792,0.4939,0.4939,0.395,0.4646
1,CALM,XGBoost,1,BASE_PLUS_OHLC,1072,573,0,"[""ORCL_ret_5d"", ""AXP_ret_5d"", ""LLY_ret_1d"", ""COF_ret_1d"", ""AMGN_ret_1d"", ""BA_ret_5d"", ""ILMN_ret_1d"", ""vix_zscore_10d__ret5x__EWC_zscore_60d""]",0.3057,0.5236,0.5233,0.4049,0.5412
