horizon,regime,algo,fold,purge,n_train,n_test,n_would_purge,F1_4cls,Acc_dir,F1_dir,F1_UP_FORT,F1_DOWN_FORT
1,GLOBAL,XGBoost,0,False,2542,758,1,0.317,0.5528,0.549,0.3359,0.5131
1,GLOBAL,XGBoost,0,True,2541,758,1,0.2907,0.5356,0.5309,0.3418,0.5039
1,GLOBAL,LightGBM,0,False,2542,758,1,0.3035,0.5475,0.5439,0.3723,0.4652
1,GLOBAL,LightGBM,0,True,2541,758,1,0.2808,0.5224,0.519,0.3271,0.4587
1,GLOBAL,RandomForest,0,False,2542,758,1,0.3095,0.566,0.5557,0.28,0.5583
1,GLOBAL,RandomForest,0,True,2541,758,1,0.2851,0.5607,0.5459,0.1897,0.564
1,GLOBAL,GradientBoosting,0,False,2542,758,1,0.2942,0.529,0.5227,0.317,0.5039
1,GLOBAL,GradientBoosting,0,True,2541,758,1,0.2763,0.5158,0.5118,0.32,0.4759
1,GLOBAL,CatBoost,0,False,2542,758,1,0.3066,0.5303,0.5276,0.3385,0.5351
1,GLOBAL,CatBoost,0,True,2541,758,1,0.2846,0.5462,0.5413,0.2966,0.5102
1,GLOBAL,XGBoost,1,False,3300,771,1,0.3215,0.5681,0.5632,0.3709,0.5822
1,GLOBAL,XGBoost,1,True,3299,771,1,0.2974,0.5435,0.5391,0.3344,0.5694
1,GLOBAL,LightGBM,1,False,3300,771,1,0.3096,0.5642,0.5591,0.3672,0.555
1,GLOBAL,LightGBM,1,True,3299,771,1,0.2926,0.5486,0.5441,0.32,0.5619
1,GLOBAL,RandomForest,1,False,3300,771,1,0.3111,0.5577,0.5524,0.3061,0.6516
1,GLOBAL,RandomForest,1,True,3299,771,1,0.3027,0.5422,0.5372,0.2491,0.6409
1,GLOBAL,GradientBoosting,1,False,3300,771,1,0.2932,0.5499,0.5434,0.3356,0.5667
1,GLOBAL,GradientBoosting,1,True,3299,771,1,0.293,0.5214,0.517,0.3051,0.6014
1,GLOBAL,CatBoost,1,False,3300,771,1,0.2934,0.5435,0.54,0.3245,0.5915
1,GLOBAL,CatBoost,1,True,3299,771,1,0.3057,0.5396,0.5343,0.3034,0.6115
1,GLOBAL,XGBoost,2,False,4071,767,1,0.3296,0.605,0.5987,0.3166,0.6266
1,GLOBAL,XGBoost,2,True,4070,767,1,0.3052,0.6154,0.61,0.3233,0.6349
1,GLOBAL,LightGBM,2,False,4071,767,1,0.3119,0.5958,0.5848,0.3111,0.6111
1,GLOBAL,LightGBM,2,True,4070,767,1,0.3137,0.6102,0.6017,0.3676,0.6115
1,GLOBAL,RandomForest,2,False,4071,767,1,0.3201,0.588,0.5821,0.2709,0.6624
1,GLOBAL,RandomForest,2,True,4070,767,1,0.3169,0.6023,0.5973,0.2902,0.6524
1,GLOBAL,GradientBoosting,2,False,4071,767,1,0.31,0.5763,0.5692,0.3194,0.5898
1,GLOBAL,GradientBoosting,2,True,4070,767,1,0.3199,0.6128,0.6069,0.3682,0.6269
1,GLOBAL,CatBoost,2,False,4071,767,1,0.3164,0.5919,0.5874,0.272,0.6377
1,GLOBAL,CatBoost,2,True,4070,767,1,0.2793,0.6076,0.6026,0.2441,0.6208
1,GLOBAL,XGBoost,3,False,4838,779,1,0.3002,0.5623,0.5598,0.4317,0.5576
1,GLOBAL,XGBoost,3,True,4837,779,1,0.3003,0.5584,0.5562,0.4103,0.5904
1,GLOBAL,LightGBM,3,False,4838,779,1,0.289,0.5533,0.5493,0.4204,0.5813
1,GLOBAL,LightGBM,3,True,4837,779,1,0.2787,0.5225,0.5213,0.4026,0.546
1,GLOBAL,RandomForest,3,False,4838,779,1,0.2958,0.5815,0.5788,0.3493,0.5903
1,GLOBAL,RandomForest,3,True,4837,779,1,0.2924,0.5648,0.5613,0.3391,0.5855
1,GLOBAL,GradientBoosting,3,False,4838,779,1,0.2912,0.5494,0.5469,0.4375,0.5775
1,GLOBAL,GradientBoosting,3,True,4837,779,1,0.2878,0.5404,0.5374,0.4231,0.5805
1,GLOBAL,CatBoost,3,False,4838,779,1,0.2988,0.5738,0.5718,0.3961,0.5699
1,GLOBAL,CatBoost,3,True,4837,779,1,0.2923,0.5674,0.5657,0.3974,0.5669
1,GLOBAL,XGBoost,4,False,5617,763,1,0.3248,0.5885,0.573,0.3008,0.61
1,GLOBAL,XGBoost,4,True,5616,763,1,0.3211,0.5885,0.5722,0.3142,0.5911
1,GLOBAL,LightGBM,4,False,5617,763,1,0.3199,0.5924,0.579,0.327,0.5491
1,GLOBAL,LightGBM,4,True,5616,763,1,0.3132,0.578,0.5656,0.3551,0.5656
1,GLOBAL,RandomForest,4,False,5617,763,1,0.3198,0.6042,0.5857,0.2259,0.6402
1,GLOBAL,RandomForest,4,True,5616,763,1,0.3248,0.6042,0.5833,0.1897,0.6465
1,GLOBAL,GradientBoosting,4,False,5617,763,1,0.3086,0.5767,0.564,0.3071,0.57
1,GLOBAL,GradientBoosting,4,True,5616,763,1,0.2982,0.5714,0.5574,0.291,0.598
1,GLOBAL,CatBoost,4,False,5617,763,1,0.3279,0.5924,0.5769,0.296,0.5985
1,GLOBAL,CatBoost,4,True,5616,763,1,0.3258,0.6081,0.5896,0.2419,0.6158
1,CALM,XGBoost,0,False,828,324,0,0.2833,0.5648,0.5603,0.3688,0.368
1,CALM,XGBoost,0,True,828,324,0,0.2833,0.5648,0.5603,0.3688,0.368
1,CALM,LightGBM,0,False,828,324,0,0.2728,0.534,0.5323,0.3676,0.3252
1,CALM,LightGBM,0,True,828,324,0,0.2728,0.534,0.5323,0.3676,0.3252
1,CALM,RandomForest,0,False,828,324,0,0.274,0.5463,0.5456,0.2833,0.4604
1,CALM,RandomForest,0,True,828,324,0,0.274,0.5463,0.5456,0.2833,0.4604
1,CALM,GradientBoosting,0,False,828,324,0,0.2689,0.5556,0.5535,0.3407,0.281
1,CALM,GradientBoosting,0,True,828,324,0,0.2689,0.5556,0.5535,0.3407,0.281
1,CALM,CatBoost,0,False,828,324,0,0.2597,0.5185,0.5095,0.3448,0.3529
1,CALM,CatBoost,0,True,828,324,0,0.2597,0.5185,0.5095,0.3448,0.3529
1,CALM,XGBoost,1,False,1072,573,1,0.2792,0.4939,0.4939,0.395,0.4646
1,CALM,XGBoost,1,True,1071,573,1,0.2893,0.5166,0.5165,0.3887,0.4739
1,CALM,LightGBM,1,False,1072,573,1,0.2651,0.4904,0.4893,0.3802,0.4149
